Group ID,Customer ID,Display Name,Laptime,Lap Number,Lap Position
622362,622362,Ian Ward2,-1,0,1
82704,82704,Nicholas Doucette,-1,0,2
651723,651723,Javier Maria,-1,0,3
619825,619825,Jamie Jukes,-1,0,4
360978,360978,Dani Guerrero Garcia,-1,0,5
622225,622225,Eric Richardson,-1,0,6
157014,157014,Marshall Petersen,-1,0,7
724875,724875,Ewan Train,-1,0,8
438837,438837,Benjamin Lawson2,-1,0,9
83685,83685,Kyle Manger,-1,0,10
689353,689353,Erik Nerger,-1,0,11
324341,324341,Donald Greathouse,-1,0,12
529577,529577,Patryk Klawinski,-1,0,13
371766,371766,Casey Hamann,-1,0,14
636584,636584,Chase Brown3,-1,0,15
368002,368002,Juan Valiente,-1,0,16
401140,401140,Aiden McConnaughey,-1,0,17
578547,578547,Isaac Fairweather,-1,0,18
427284,427284,Sven Pohl,-1,0,19
33003,33003,Leandro Lage,-1,0,20
97967,97967,Martin Marconi,-1,0,21
565167,565167,Felix Ladwig,-1,0,22
724180,724180,Kasper Rishøj-Andersen,-1,0,23
343106,343106,Gil Afonso,-1,0,24
313303,313303,Simen Brunstad,-1,0,25
573253,573253,Isidoro Jauregui,-1,0,26
529844,529844,Willem Haeger,-1,0,27
614484,614484,Alex Hoesel,-1,0,28
246571,246571,Fer Sanmartin,-1,0,29
533021,533021,Mason Smith8,-1,0,30
333638,333638,Maximilian Müller,-1,0,31
171451,171451,Adam Taylor4,-1,0,32
54706,54706,Frank-Eddie Nikolaisen,-1,0,33
394487,394487,Joaquín Fanjul M,-1,0,34
427125,427125,Greg Tassos,-1,0,35
327682,327682,Andrew Wisdom,-1,0,36
381177,381177,Álvaro Serrano,-1,0,37
651723,651723,Javier Maria,997906,1,1
622362,622362,Ian Ward2,-1,1,2
619825,619825,Jamie Jukes,-1,1,3
622225,622225,Eric Richardson,1009897,1,4
83685,83685,Kyle Manger,1012578,1,5
82704,82704,Nicholas Doucette,-1,1,6
724875,724875,Ewan Train,1018797,1,7
360978,360978,Dani Guerrero Garcia,1027660,1,8
689353,689353,Erik Nerger,1033891,1,9
529577,529577,Patryk Klawinski,1034407,1,10
438837,438837,Benjamin Lawson2,1037723,1,11
324341,324341,Donald Greathouse,1042827,1,12
636584,636584,Chase Brown3,1045014,1,13
401140,401140,Aiden McConnaughey,1045306,1,14
371766,371766,Casey Hamann,1057458,1,15
368002,368002,Juan Valiente,1057978,1,16
157014,157014,Marshall Petersen,1084327,1,17
427284,427284,Sven Pohl,1218689,1,18
724180,724180,Kasper Rishøj-Andersen,1227056,1,19
33003,33003,Leandro Lage,1231458,1,20
97967,97967,Martin Marconi,1234013,1,21
313303,313303,Simen Brunstad,1254119,1,22
578547,578547,Isaac Fairweather,-1,1,23
573253,573253,Isidoro Jauregui,1254923,1,24
529844,529844,Willem Haeger,1256830,1,25
246571,246571,Fer Sanmartin,1267750,1,26
333638,333638,Maximilian Müller,1291601,1,27
381177,381177,Álvaro Serrano,-1,1,28
394487,394487,Joaquín Fanjul M,1301375,1,29
171451,171451,Adam Taylor4,1307228,1,30
54706,54706,Frank-Eddie Nikolaisen,1315944,1,31
327682,327682,Andrew Wisdom,1316242,1,32
565167,565167,Felix Ladwig,1332165,1,33
427125,427125,Greg Tassos,1348580,1,34
651723,651723,Javier Maria,942661,2,1
622362,622362,Ian Ward2,-1,2,2
82704,82704,Nicholas Doucette,-1,2,3
619825,619825,Jamie Jukes,-1,2,4
529577,529577,Patryk Klawinski,956075,2,5
724875,724875,Ewan Train,973819,2,6
324341,324341,Donald Greathouse,950782,2,7
438837,438837,Benjamin Lawson2,980190,2,8
371766,371766,Casey Hamann,965544,2,9
401140,401140,Aiden McConnaughey,980545,2,10
636584,636584,Chase Brown3,988652,2,11
368002,368002,Juan Valiente,976628,2,12
157014,157014,Marshall Petersen,952311,2,13
360978,360978,Dani Guerrero Garcia,1020786,2,14
83685,83685,Kyle Manger,1057330,2,15
689353,689353,Erik Nerger,-1,2,16
427284,427284,Sven Pohl,1040365,2,17
724180,724180,Kasper Rishøj-Andersen,1035682,2,18
33003,33003,Leandro Lage,1039654,2,19
97967,97967,Martin Marconi,1041159,2,20
381177,381177,Álvaro Serrano,997590,2,21
313303,313303,Simen Brunstad,1049173,2,22
573253,573253,Isidoro Jauregui,1048960,2,23
529844,529844,Willem Haeger,1049704,2,24
578547,578547,Isaac Fairweather,-1,2,25
246571,246571,Fer Sanmartin,1051650,2,26
333638,333638,Maximilian Müller,1052300,2,27
171451,171451,Adam Taylor4,1048234,2,28
394487,394487,Joaquín Fanjul M,-1,2,29
327682,327682,Andrew Wisdom,1042052,2,30
54706,54706,Frank-Eddie Nikolaisen,1049991,2,31
565167,565167,Felix Ladwig,1045157,2,32
427125,427125,Greg Tassos,1045882,2,33
651723,651723,Javier Maria,940907,3,1
622362,622362,Ian Ward2,-1,3,2
82704,82704,Nicholas Doucette,937587,3,3
619825,619825,Jamie Jukes,935195,3,4
724875,724875,Ewan Train,942006,3,5
529577,529577,Patryk Klawinski,944355,3,6
324341,324341,Donald Greathouse,943945,3,7
438837,438837,Benjamin Lawson2,942345,3,8
371766,371766,Casey Hamann,945347,3,9
401140,401140,Aiden McConnaughey,943001,3,10
636584,636584,Chase Brown3,952088,3,11
622225,622225,Eric Richardson,-1,2,34
83685,83685,Kyle Manger,956682,3,12
157014,157014,Marshall Petersen,1008642,3,13
360978,360978,Dani Guerrero Garcia,1026931,3,14
368002,368002,Juan Valiente,1079569,3,15
343106,343106,Gil Afonso,3202794,1,35
381177,381177,Álvaro Serrano,960511,3,16
427284,427284,Sven Pohl,1040513,3,17
724180,724180,Kasper Rishøj-Andersen,1040155,3,18
33003,33003,Leandro Lage,1046638,3,19
97967,97967,Martin Marconi,1043598,3,20
573253,573253,Isidoro Jauregui,1045596,3,21
313303,313303,Simen Brunstad,1046973,3,22
529844,529844,Willem Haeger,1044658,3,23
578547,578547,Isaac Fairweather,1037205,3,24
246571,246571,Fer Sanmartin,1046105,3,25
333638,333638,Maximilian Müller,1050422,3,26
171451,171451,Adam Taylor4,1046398,3,27
54706,54706,Frank-Eddie Nikolaisen,1051579,3,28
394487,394487,Joaquín Fanjul M,-1,3,29
565167,565167,Felix Ladwig,1050174,3,30
427125,427125,Greg Tassos,1053195,3,31
327682,327682,Andrew Wisdom,1113805,3,32
651723,651723,Javier Maria,940351,4,1
82704,82704,Nicholas Doucette,940218,4,2
619825,619825,Jamie Jukes,942550,4,3
324341,324341,Donald Greathouse,950522,4,4
724875,724875,Ewan Train,953837,4,5
529577,529577,Patryk Klawinski,954727,4,6
438837,438837,Benjamin Lawson2,941412,4,7
401140,401140,Aiden McConnaughey,948161,4,8
622362,622362,Ian Ward2,-1,4,9
636584,636584,Chase Brown3,945849,4,10
371766,371766,Casey Hamann,963842,4,11
83685,83685,Kyle Manger,954388,4,12
157014,157014,Marshall Petersen,970592,4,13
368002,368002,Juan Valiente,976713,4,14
360978,360978,Dani Guerrero Garcia,1028204,4,15
381177,381177,Álvaro Serrano,958291,4,16
427284,427284,Sven Pohl,1042124,4,17
724180,724180,Kasper Rishøj-Andersen,1040731,4,18
97967,97967,Martin Marconi,1045376,4,19
33003,33003,Leandro Lage,1048950,4,20
578547,578547,Isaac Fairweather,1044862,4,21
529844,529844,Willem Haeger,1048396,4,22
573253,573253,Isidoro Jauregui,1052916,4,23
246571,246571,Fer Sanmartin,1046511,4,24
333638,333638,Maximilian Müller,1059605,4,25
171451,171451,Adam Taylor4,1053324,4,26
54706,54706,Frank-Eddie Nikolaisen,1048464,4,27
394487,394487,Joaquín Fanjul M,1040504,4,28
313303,313303,Simen Brunstad,1134575,4,29
565167,565167,Felix Ladwig,1057650,4,30
427125,427125,Greg Tassos,1049959,4,31
327682,327682,Andrew Wisdom,1048559,4,32
651723,651723,Javier Maria,941426,5,1
82704,82704,Nicholas Doucette,937015,5,2
619825,619825,Jamie Jukes,938743,5,3
324341,324341,Donald Greathouse,946244,5,4
529577,529577,Patryk Klawinski,946454,5,5
724875,724875,Ewan Train,948636,5,6
438837,438837,Benjamin Lawson2,942179,5,7
401140,401140,Aiden McConnaughey,931262,5,8
636584,636584,Chase Brown3,948297,5,9
371766,371766,Casey Hamann,948751,5,10
83685,83685,Kyle Manger,947762,5,11
157014,157014,Marshall Petersen,967867,5,12
360978,360978,Dani Guerrero Garcia,952325,5,13
381177,381177,Álvaro Serrano,950484,5,14
622225,622225,Eric Richardson,-1,3,33
427284,427284,Sven Pohl,1043306,5,15
724180,724180,Kasper Rishøj-Andersen,1044050,5,16
97967,97967,Martin Marconi,1050928,5,17
33003,33003,Leandro Lage,1051554,5,18
578547,578547,Isaac Fairweather,1041785,5,19
529844,529844,Willem Haeger,1044476,5,20
573253,573253,Isidoro Jauregui,1043214,5,21
246571,246571,Fer Sanmartin,1049885,5,22
394487,394487,Joaquín Fanjul M,1054895,5,23
54706,54706,Frank-Eddie Nikolaisen,1060045,5,24
171451,171451,Adam Taylor4,1083554,5,25
313303,313303,Simen Brunstad,1054232,5,26
565167,565167,Felix Ladwig,1055366,5,27
427125,427125,Greg Tassos,1044351,5,28
327682,327682,Andrew Wisdom,1052592,5,29
333638,333638,Maximilian Müller,1203129,5,30
622362,622362,Ian Ward2,1771351,5,31
651723,651723,Javier Maria,941563,6,1
82704,82704,Nicholas Doucette,940408,6,2
619825,619825,Jamie Jukes,942902,6,3
324341,324341,Donald Greathouse,942655,6,4
529577,529577,Patryk Klawinski,942519,6,5
724875,724875,Ewan Train,944473,6,6
401140,401140,Aiden McConnaughey,951076,6,7
438837,438837,Benjamin Lawson2,975920,6,8
636584,636584,Chase Brown3,947839,6,9
371766,371766,Casey Hamann,948017,6,10
