Driver,Fastest Lap,Top 20 Laps,Top 50%,Median,Laps
651723,937507,943145,941331,944452,29
622225,947829,953555,950963,955020,25
83685,943448,954836,949722,953990,25
724875,937102,943957,941144,944444,26
360978,939455,946705,945029,948866,29
529577,941491,invalid,943990,946454,10
438837,939174,945409,942936,945263,29
324341,941952,945379,943586,945660,25
636584,940628,947821,945348,948297,29
401140,931262,944785,942089,948161,29
371766,945347,952385,949314,952328,29
368002,976628,invalid,976670,976713,4
157014,944281,954314,949466,962979,29
427284,1037339,1043059,1041978,1043413,27
724180,1035682,1044157,1042398,1045261,27
33003,1039654,1046685,1044926,1046863,26
97967,1041159,1048181,1046305,1049890,26
313303,1044858,1057805,1054374,1059954,26
573253,1043065,invalid,1044365,1045596,8
529844,1043528,1053578,1049909,1057088,26
246571,1041414,1048465,1046924,1049702,26
333638,1050422,1057186,1054986,1057957,26
394487,1038114,1052761,1043087,1047221,22
171451,1046398,1052992,1050719,1055257,26
54706,1043633,1051337,1048489,1051579,26
327682,1042052,1053538,1048612,1054095,26
565167,1044592,1049847,1048120,1051286,26
427125,1044351,1052019,1050118,1052479,26
381177,948739,963097,957807,964322,24
82704,932020,941990,938875,943763,27
619825,935195,946820,943690,949998,27
343106,1075938,invalid,1085006,1091839,17
578547,1037205,1042673,1041083,1043450,25
622362,945217,invalid,951760,958304,5
614484,1045740,1083499,1050155,1053080,21
