Group ID,Customer ID,Display Name,Laptime,Lap Number,Lap Position
194283,194283,Brayden Werner,-1,0,1
284508,284508,Johnny Cullan,-1,0,2
657544,657544,Martin Kadlečík,-1,0,3
303368,303368,Julius Müller,-1,0,4
200429,200429,Aleksi Aalto,-1,0,5
94708,94708,Martijn Joon,-1,0,6
263140,263140,Pieter Colignon,-1,0,7
181491,181491,Peter Raffler,-1,0,8
578905,578905,Diego Williams,-1,0,9
375648,375648,Dominik Förster,-1,0,10
179178,179178,Nathan Bartley,-1,0,11
92573,92573,Ilkka Uoti,-1,0,12
289099,289099,Carl Wahlqvist,-1,0,13
206473,206473,Wojciech Kruk,-1,0,14
330317,330317,Sanjin Hasanovic,-1,0,15
140495,140495,Jeremie Rioux,-1,0,16
26458,26458,Florian Kirchhofer,-1,0,17
388478,388478,Samuel Axelrod,-1,0,18
237517,237517,Jon P Reed,-1,0,19
456726,456726,Simon Jacob,-1,0,20
489352,489352,Dave Kraige,-1,0,21
538815,538815,Tristan Mafout,-1,0,22
442006,442006,Brendan McCarty,-1,0,23
540571,540571,Elizabeth McFife,-1,0,24
19266,19266,Mika Karjalainen,-1,0,25
194283,194283,Brayden Werner,876212,1,1
284508,284508,Johnny Cullan,882008,1,2
657544,657544,Martin Kadlečík,885196,1,3
303368,303368,Julius Müller,893683,1,4
200429,200429,Aleksi Aalto,900215,1,5
94708,94708,Martijn Joon,903349,1,6
375648,375648,Dominik Förster,918126,1,7
206473,206473,Wojciech Kruk,930332,1,8
578905,578905,Diego Williams,933676,1,9
26458,26458,Florian Kirchhofer,936396,1,10
92573,92573,Ilkka Uoti,953237,1,11
179178,179178,Nathan Bartley,955495,1,12
289099,289099,Carl Wahlqvist,959438,1,13
388478,388478,Samuel Axelrod,-1,1,14
442006,442006,Brendan McCarty,976512,1,15
19266,19266,Mika Karjalainen,979664,1,16
330317,330317,Sanjin Hasanovic,991832,1,17
489352,489352,Dave Kraige,992880,1,18
456726,456726,Simon Jacob,996702,1,19
538815,538815,Tristan Mafout,1000342,1,20
540571,540571,Elizabeth McFife,1013711,1,21
181491,181491,Peter Raffler,1029891,1,22
263140,263140,Pieter Colignon,1033362,1,23
140495,140495,Jeremie Rioux,1042637,1,24
237517,237517,Jon P Reed,1084313,1,25
194283,194283,Brayden Werner,827324,2,1
284508,284508,Johnny Cullan,830420,2,2
657544,657544,Martin Kadlečík,830185,2,3
303368,303368,Julius Müller,837500,2,4
94708,94708,Martijn Joon,838281,2,5
375648,375648,Dominik Förster,840734,2,6
206473,206473,Wojciech Kruk,842589,2,7
578905,578905,Diego Williams,842479,2,8
26458,26458,Florian Kirchhofer,843065,2,9
179178,179178,Nathan Bartley,842140,2,10
92573,92573,Ilkka Uoti,851424,2,11
289099,289099,Carl Wahlqvist,848566,2,12
388478,388478,Samuel Axelrod,844359,2,13
442006,442006,Brendan McCarty,853642,2,14
538815,538815,Tristan Mafout,864872,2,15
489352,489352,Dave Kraige,877376,2,16
456726,456726,Simon Jacob,890068,2,17
263140,263140,Pieter Colignon,858345,2,18
181491,181491,Peter Raffler,867360,2,19
140495,140495,Jeremie Rioux,855478,2,20
330317,330317,Sanjin Hasanovic,916791,2,21
540571,540571,Elizabeth McFife,895708,2,22
237517,237517,Jon P Reed,861573,2,23
200429,200429,Aleksi Aalto,1083751,2,24
194283,194283,Brayden Werner,827822,3,1
284508,284508,Johnny Cullan,829501,3,2
657544,657544,Martin Kadlečík,830143,3,3
303368,303368,Julius Müller,835165,3,4
94708,94708,Martijn Joon,836947,3,5
375648,375648,Dominik Förster,841170,3,6
206473,206473,Wojciech Kruk,840829,3,7
578905,578905,Diego Williams,840361,3,8
26458,26458,Florian Kirchhofer,842209,3,9
179178,179178,Nathan Bartley,836418,3,10
92573,92573,Ilkka Uoti,842194,3,11
289099,289099,Carl Wahlqvist,842441,3,12
388478,388478,Samuel Axelrod,843348,3,13
